S.no,Districts,Agricultural Market Committees,Rythu Bazars
1,ADILABAD,5,1
2,BHADRADRI,6,2
3,HYDERABAD,3,3
4,JAGTIAL ,13,0
5,JANGAON ,3,0
6,JAYASHANKAR ,2,0
7,JOGULAMBA ,2,0
8,KAMAREDDY ,10,0
9,KARIMNAGAR ,8,2
10,KHAMMAM ,7,3
11,KOMARAM BHEEM ,3,0
12,MAHABUBABAD,3,0
13,MAHABUBNAGAR,7,1
14,MANCHERIAL ,5,0
15,MEDAK ,5,2
16,MEDCHAL,1,6
17,NAGARKURNOOL ,5,1
18,NALGONDA ,9,2
19,NIRMAL ,5,0
20,NIZAMABAD ,7,2
21,PEDDAPALLI ,8,0
22,RAJANNA ,7,0
23,RANGAREDDY ,8,3
24,SANGAREDDY ,8,0
25,SIDDIPET ,13,1
26,SURYAPET ,5,2
27,VIKARABAD ,8,1
28,WANAPARTHY ,4,0
29,WARANGAL (R) ,5,0
30,WARANGAL (U),1,3
31,YADADRI ,5,1
