S.no,Year,Area under Food Crops,Area under Non-food Crops,Total Area under Crops,Total Area under Crops,Total Area under Crops
1,2002,3398955,1402195,4801150,4801151,4801152
2,2003,3101039,1135145,4236184,4236185,4236186
3,2004,3438759,1228042,4666801,4666802,4666803
4,2005,2950757,1462263,4413020,4413021,4413022
5,2006,3607478,1510311,5117789,5117790,5117791
6,2007,3563665,1377784,4941449,4941450,4941451
7,2008,3499916,1519619,5019535,5019536,5019537
8,2009,3645770,1749543,5395313,5395314,5395315
9,2010,3108291,1790609,4898900,4898901,4898902
10,2011,3919931,1947895,5867826,5867827,5867828
11,2012,3610996,2090869,5701865,5701866,5701867
12,2013,3315395,2374658,5690053,5690054,5690055
13,2014,3897059,2346696,6243755,6243756,6243757
14,2015,3067786,2247547,5315333,5315334,5315335
15,2016,2617594,2275554,4893148,4893149,4893150
16,2017,3962042,2004606,5966648,5966649,5966650
