S.no,District,Gross Cropped Area,Net Cropped Area,Gross Irrigated Area,Net Irrigated Area
1,ADILABAD,199855,199006,11075,10852
2,BHADRADRI,139036,131682,51549,46521
3,HYDERABAD,0,0,0,0
4,JAGTIAL ,122970,96046,104254,77420
5,JANGAON ,156087,121661,75826,51977
6,JAYASHANKAR ,177583,148258,108945,87840
7,JOGULAMBA ,297246,259812,141042,105817
8,KAMAREDDY ,181047,134091,80167,45599
9,KARIMNAGAR ,170650,124823,126026,80706
10,KHAMMAM ,147373,133764,71338,59360
11,KOMARAM BHEEM ,149654,127432,11755,11755
12,MAHABUBABAD,141109,105187,80072,59138
13,MAHABUBNAGAR,325576,291958,101909,69402
14,MANCHERIAL ,95568,84931,30698,30698
15,MEDAK ,97532,76307,55390,35362
16,MEDCHAL,10234,8245,8790,6883
17,NAGARKURNOOL ,244232,219797,49269,28954
18,NALGONDA ,346516,311801,109161,76120
19,NIRMAL ,172158,143415,62302,38831
20,NIZAMABAD ,268650,155946,223837,119886
21,PEDDAPALLI ,89138,39287,109570,70512
22,RAJANNA ,105454,80573,57627,32746
23,RANGAREDDY ,199937,185414,57543,44790
24,SANGAREDDY ,265290,234478,61051,45797
25,SIDDIPET ,186120,147972,78305,47243
26,SURYAPET ,220247,155053,161692,104433
27,VIKARABAD ,150789,136377,36394,24661
28,WANAPARTHY ,297246,259812,141042,105817
29,WARANGAL (R) ,172463,138505,134638,102098
30,WARANGAL (U),60348,48298,43119,29660
31,YADADRI ,121203,102288,59448,40473
